,en,de,original_de
0,Two children in yellow jackets are playing in mud., Zwei Kinder in gelben Jacken spielen im Schlamm . ,Zwei Kinder mit gelben Jacken spielen im Schlamm.
0,There are multiple people going over a loop on an inverted roller coaster., Mehrere Personen fahren eine  auf einer Achterbahn . ,Mehrere Menschen drehen einen Looping in einem auf dem Kopf stehenden Achterbahnwagen.
0,A woman and little boy share a chair., Eine Frau und ein kleiner Junge teilen sich einen Stuhl . ,Eine Frau und ein kleiner Junge teilen sich einen Stuhl.
0,A group of people stand in a loose line on a brick ground., Eine Gruppe  in einer  Jacke steht auf einem  Boden . ,Eine Gruppe von Menschen steht in einer lockeren Reihe auf einem Steinboden.
0,A young girl is swimming in a pool., Ein kleines Mädchen schwimmt in einem Schwimmbecken . ,Ein kleines Mädchen schwimmt in einem Pool.
0,"A boy with an orange shirt smiles, while a boy in a blue shirt looks on."," Ein Junge in einem orangefarbenen Hemd lächelt , während ein Junge in einem blauen Hemd zuschaut . ","Ein Junge in einem orangen T-Shirt lächelt, während ihn ein Junge in einem blauen T-Shirt ansieht."
0,A little girl stands in a puddle outside., Ein kleines Mädchen steht in einer Pfütze . ,Ein kleines Mädchen steht draußen in einer Pfütze.
0,A small blond girl is holding a sandwich., Ein kleines blondes Mädchen hält ein  . ,Ein kleines blondes Mädchen hält ein Sandwich.
0,4 people trying to fix a bike on a park, Vier Personen versuchen einen Fahrrad zu reparieren . ,"Vier Menschen versuchen in einem Park, ein Fahrrad zu reparieren"
0,A very wet brown dog is emerging from the water.," Ein sehr brauner Hund , der aus dem Wasser kommt , kommt aus . ",Ein sehr nasser brauner Hund taucht aus dem Wasser auf.
0,A dog running across a field with a ball in its mouth., Ein Hund rennt mit einem Ball über ein Feld . ,Ein Hund rennt mit einem Ball im Maul über eine Wiese.
0,A group of people wait behind a barricade and look toward the right., Eine Gruppe von Menschen wartet hinter der eine  nach rechts . ,Eine Gruppe von Menschen wartet hinter einer Absperrung und blickt nach rechts.
0,A child wearing a red sweatshirt is hanging upside down from a tree., Ein Kind mit einem roten Sweatshirt hängt kopfüber von einem Baum . ,Ein Kind in einem roten Sweatshirt hängt kopfüber an einem Baum.
0,A carnival game operator takes the money of two willing contestants.,  haben Spaß bei der   zwei  . ,Der Betreiber eines Jahrmarktspiels nimmt Geld von zwei bereitwilligen Kandidaten entgegen.
0,A boy smiles for the camera in a group of sitting children.," Ein Junge lächelt in die Kamera , während eine Gruppe von Kindern sitzt . ",Ein Junge in einer Gruppe von sitzenden Kindern lächelt für die Kamera.
0,Two children without shirts on sit at the edge of a fountain., Zwei Kinder mit freiem Oberkörper sitzen an der Kante eines Brunnen . ,Zwei Kinder mit nacktem Oberkörper sitzen am Rand eines Springbrunnens.
0,A man pulls on his sweater as a kayak lays at his feet.," Ein Mann zieht einen Pullover , während er seine Kajak liegt . ","Ein Mann zieht seinen Pullover an, während zu seinen Füßen ein Kajak liegt."
0,An old man walking with a folder in his hand, Ein alter Mann geht mit Hand in der Hand in der Hand . ,Ein alter Mann läuft mit einem Ordner in der Hand herum
0,A disinterested young woman and an older man stand by a bar., Eine junge Frau und eine ältere Frau stehen an einem  . ,Eine desinteressierte junge Frau und ein älterer Mann stehen an einer Bar.
0,A young blond boy is jumping from bed to bed., Ein kleiner blonder Junge springt von Bett aus dem Bett . ,Ein kleiner blonder Junge hüpft von Bett zu Bett.
0,A small child swings back a red baseball bat., Ein kleines Kind schwingt den Rücken eines roten Schläger . ,Ein kleines Kind schwingt einen roten Baseballschläger nach hinten.
0,The man is talking on his cellphone in front of a sports store., Der Mann spricht mit seinem Handy vor einem  . ,Der Mann telefoniert vor einem Sportgeschäft mit seinem Handy.
0,Here are 2 moms listening to a toddler., Ein  hört einem Kleinkind zu . ,"Hier sind zwei Mütter, die einem kleinen Kind zuhören."
0,A woman in a blue shirt is playing an instrument., Eine Frau in einem blauen Oberteil spielt ein Instrument . ,Eine Frau in einem blauen T-Shirt spielt ein Instrument.
0,This is a crowded intersection in a big city at night., Diese belebte Kreuzung in einer Kreuzung in der Stadt in der Stadt . ,Das ist eine belebte Kreuzung in einer Großstadt bei Nacht.
0,A man sitting in clear shallow water beside a large rock face., Ein Mann sitzt im flachen Wasser neben einem großen Felsen neben einem großen Felsen . ,"Ein Mann sitzt im klaren, seichten Wasser an einer großen Felswand."
0,A couple of hikers taking a break to take a picture.," Ein Paar , die eine Pause machen , macht ein Foto macht . ","Zwei Wanderer machen eine Pause, um ein Foto zu aufzunehmen."
0,Four goth looking people walking down a street with trees in the background," Vier Personen , die auf einer Straße gehen , mit Bäumen im Hintergrund sind Bäume zu sehen . ",Vier wie Gruftis aussehende Menschen gehen eine Straße mit Bäumen im Hintergrund entlang
0,4 people are strapped to an amusement park ride," Vier Personen sind an einem Fahrgeschäft , um einem Vergnügungspark zu fahren . ",Vier Menschen sind in einem Vergnügungspark in einem Fahrgeschäft festgeschnallt
0,A boy does a skateboard trick off a metal plank., Ein Junge macht ein Skateboard von einem Trick auf einem hohen Brett . ,Ein Junge macht ein Kunststück mit dem Skateboard von einer Metallstange herunter.
0,A man on a beach building a sand castle.," Ein Mann am Strand auf einem Gebäude , eine Sand arbeitet . ",Ein Mann an einem Strand baut eine Sandburg.
0,The large brown dog is chasing after the little brown dog., Der große brauner Hund jagt dem braunen Hund nach dem braunen Hund . ,Der große braune Hund jagt dem kleinen braunen Hund hinterher.
0,Men in white outfits are holding up their hands., Männer in weißen Outfits halten ihre Hände in die Höhe . ,Weiß gekleidete Männer heben ihre Hände nach oben.
0,A woman thows a Frisbee to a dog as a baseball player in uniform runs behind her.," Eine Frau  Frisbee , während ein Baseballspieler in der Uniform hinter einem Trikot rennt . ","Eine Frau wirft einem Hund eine Frisbeescheibe zu, während ihr ein Baseballspieler in Spielkleidung hinterherläuft."
0,A black dog standing in some grass holding a white plastic item in its mouth., Ein schwarzer Hund steht im Gras und hält einen weißen Gegenstand im Maul . ,Ein schwarzer Hund steht im Gras und hält einen weißen Plastikgegenstand in seinem Maul.
0,A boat with people and their belongings is in the water., Ein Boot mit ihren Menschen in seinen Armen auf dem Wasser . ,Ein Boot mit Menschen und ihrem Hab und Gut befindet sich im Wasser.
0,A pack of bicycle road racers lean through a curve., Eine Gruppe von Fahrrad fährt mit vielen Kurve auf eine Kurve . ,Eine Gruppe von Radfahrern legt sich bei einem Straßenrennen in die Kurve.
0,Three people are sitting outside at a table with artwork leaning against it., Drei Personen sitzen draußen an einem Tisch mit  gegen ein Kunstwerk . ,"Drei Menschen sitzen im Freien an einem Tisch, an dem Kunstwerke lehnen."
0,A white woman and black man walking down the street., Eine weiße Frau und ein schwarz gekleideter Mann gehen die Straße entlang . ,Eine weiße Frau und ein schwarzer Mann gehen eine Straße entlang.
0,A man in a white t-shirt painting in the middle of a stone paved road., Ein Mann in einem weißen T-Shirt malt mitten auf einem gepflasterten Weg aus Stein . ,Ein Mann in einem weißen T-Shirt malt mitten auf einer mit Steinen gepflasterten Straße.
0,"A brown, black, and white dog barking up a tree."," Ein brauner , schwarz und weißer Hund rollt einen Baum hoch . ",Ein braun-schwarz-weißer Hund bellt an einem Baum hinauf.
0,A man in blue and red face paint poses for a picture with a woman., Ein Mann in blau und roter Farbe posiert für ein Bild mit einer Frau . ,Ein Mann mit blau-rot geschminktem Gesicht posiert mit einer Frau für ein Foto.
0,Two boys playing a game with marbles., Zwei Jungen spielen ein Spiel mit  . ,Zwei Jungen spielen mit Murmeln.
0,Two men waiting in the backseat of a car while the driver gets in to the driver's seat.," Zwei Männer auf dem Rücksitz warten auf den Fahrer eines Autos , während der Fahrer von einem Fahrer auf dem Fahrer des  werden . ","Zwei Männer warten auf dem Rücksitz eines Autos, während der Fahrer auf dem Fahrersitz Platz nimmt."
0,A boy rides a swing., Ein Junge fährt auf einer Schaukel . ,Ein Junge sitzt auf einer Schaukel.
0,A black man is watching another black man playing in the waterfall.," Ein schwarzer Mann beobachtet einen anderen Mann , der einen schwarzen Wasserfall spielt . ",Ein schwarzer Mann sieht einem anderen schwarzen Mann beim Baden im Wasserfall zu.
0,Person with a red backpackers going for a hike., Eine Person mit roter Kleidung geht für eine wandert . ,Person mit einem roten Rucksack geht wandern.
0,"An Asian fruit and vegetable vendor's selection of bananas, oranges, melons and more in his small boat."," Ein asiatisches Mädchen mit verschiedenen  versammelt an einer Straßenecke , Orangen in seinem kleinen  . ","Das Sortiment an Bananen, Orangen, Melonen usw. eines asiatischen Obst- und Gemüsehändlers auf seinem kleinen Boot."
0,A large crowd stand watching with a large buildings in the background.," Eine große Menschenmenge sieht zu , wie eine große Menschenmenge im Hintergrund sind . ",Eine große Menschenmenge sieht mit großen Gebäuden im Hintergrund bei etwas zu.
0,Three women in dark shawls and hats talk on a brick street while a dog sits next to them.," Drei Frauen mit dunklen und Hüten und Hüten unterhalten sich auf einer Straße , während ein Hund neben ihnen sitzt . ","Drei Frauen mit dunklen Umhängetüchern und Hüten unterhalten sich auf einer Backsteinstraße, während ein Hund neben ihnen sitzt."
0,A man in a white shirt is making shish kabob., Ein Mann in einem weißen Hemd macht ein   . ,Ein Mann im weißen Hemd macht Schaschlik.
0,A person with neon pink hair and yellow shirt is looking out across a beach., Eine Person mit rosafarbenen Haaren und gelbem Oberteil schaut über einen Strand . ,Eine Person mit neonpinkfarbenem Haar und gelbem T-Shirt blickt über einen Strand.
0,Man looking at a woman that is smoking on the sidewalk.," Ein Mann schaut auf eine Frau , die auf dem Gehweg raucht . ","Mann beobachtet eine Frau, die auf dem Gehweg raucht."
0,A male in a black shirt and brown cargo pants holding a shovel above his head., Ein Mann in einem schwarzen Hemd und braunen Hosen hält eine Schaufel über dem Kopf und hält seinen Kopf . ,Ein Mann in einem schwarzen T-Shirt und braunen Cargohosen hält eine Schaufel über seinem Kopf.
0,A man licking the face of a woman wearing glasses., Ein Mann leckt eine Frau die Brille . ,Ein Mann leckt das Gesicht einer Frau mit Brille ab.
0,One child is walking ahead of the other., Ein Kind geht vor anderen anderen anderen . ,Ein Kind geht vor einem anderen.
0,The young girl is given rabbit ears by the young boy behind her., Das Mädchen wird ein kleines Mädchen hinter dem kleinen Jungen hinter ihr . ,Dem jungen Mädchen werden von dem kleinen Jungen hinter ihr Hasenohren gemacht.
0,"A young baby, dressed in a pink fleece outfit, smiles while laying in autumn leaves."," Ein kleines Baby in   lächelt , während er in  einen  im Wald liegt . ","Ein kleines Baby, das in pinkfarbenen Fleece gekleidet ist, liegt lächelnd inmitten von Herbstblättern."
0,A closeup of a woman with short red-hair., Eine Nahaufnahme einer Frau mit rotem Haar . ,Die Nahaufnahme einer Frau mit kurzem rotem Haar.
0,A soccer team player in a green shirt is running off the field., Ein Fußballspieler in einem grünen Oberteil läuft über das Feld . ,Ein Fußballspieler in einem grünen Trikot läuft vom Spielfeld.
0,A girl leads her dog over a hurdle., Ein Mädchen führt ihren Hund über ein Hindernis des . ,Ein Mädchen führt seinen Hund über eine Hürde.
0,Several children are raising their hands while sitting on a colorful rug in a classroom., Mehrere Kinder heben ihre Hände auf und sitzen auf einem bunten Teppich vor . ,"Mehrere Kinder heben die Hände, während sie auf einem bunten Teppich in einem Klassenzimmer sitzen."
0,Sailors stand at the top of a gangplank to a large boat.,  stehen oben auf einem großen Boot an einem großen Boot . ,"Seeleute stehen oben an einer Laufplanke, die auf ein großes Schiff führt."
0,A medium sized white dog is jumping up to catch a small cloth Frisbee.," Ein  weißer Hund springt hoch , um einen kleinen Frisbee zu fangen . ","Ein mittelgroßer weißer Hund springt hoch, um eine kleine Frisbeescheibe aus Stoff zu fangen."
0,A man in a gray t-shirt rests., Ein Mann in einem grauen T-Shirt ruht sich aus . ,Ein Mann in einem grauen T-Shirt ruht sich aus.
0,"A black dog is jumping through some water, while holding a stick in his mouth.", Ein schwarzer Hund springt durch Wasser und hält einen Stock in seiner Schnauze . ,Ein schwarzer Hund springt durch das Wasser und trägt dabei einen Stock in seinem Maul.
0,Two black dogs running down either side of a paved pathway, Zwei schwarze Hunde laufen und auf einem gepflasterten Weg entlang . ,Zwei schwarze Hunde rennen auf beiden Seiten eines befestigten Weges
0,Four people in casual clothing are standing outside holding garbage bags., Vier Personen in legerer Kleidung stehen draußen mit Taschen und Müll auf . ,Vier Menschen in Freizeitkleidung stehen im Freien und halten Mülltüten.
0,People and camels taking a break in the desert., Leute und machen  auf einer Pause in der Wüste . ,Menschen und Kamele rasten in der Wüste.
0,Four dogs are playing in a circle and one black dog is walking away., Vier Hunde spielen im Kreis und ein schwarz gekleideter Hund läuft weg . ,Vier Hunde spielen im Kreis und ein schwarzer Hund läuft weg.
0,A man in an army uniform speaks into a microphone., Ein Mann in  spricht in ein Mikrofon . ,Ein Mann in einer Armeeuniform spricht in ein Mikrofon.
0,A group of Asian people at an auto show stare and take picture of a new vehicle.," Eine Gruppe von asiatischen Personen betrachtet eine  ,  ein Foto von einem Fahrzeug machen . ",Eine Gruppe von Asiaten betrachtet und fotografiert ein neues Fahrzeug bei einer Automesse.
0,An swimmer swimming in a swimming pool., Ein Schwimmer schwimmt in einem Schwimmbecken . ,Ein Schwimmer schwimmt in einem Swimmingpool.
0,Woman with a white shirt and banks lounging on a couch inside of a house., Eine Frau in einem weißen Hemd sitzt auf einem Sofa und liegt in einem  Haus herum . ,Frau in einem weißen T-Shirt und Hosen entspannt sich auf einem Sofa in einem Haus.
0,One man is making hand signals next to two young girls., Ein Mann macht neben zwei kleinen Mädchen einen kleinen Mädchen . ,Ein Mann macht Handzeichen neben zwei jungen Mädchen.
0,Girl in white shirt blowing bubbles in dark room., Ein Mädchen in einem weißen Oberteil macht Seifenblasen in einem weißen Raum . ,Mädchen in weißem T-Shirt macht Seifenblasen in dunklem Zimmer.
0,Boys and girls from an Eastern nation smiling in a field.," Jungen und Mädchen aus dem  aus einem Feld , lächeln in einem Feld . ",Jungen und Mädchen aus einem östlichen Land lächeln auf einer Wiese.
0,A child in an orange shirt jumps off bales of hay while other children watch.," Ein Kind in einem orangefarbenen Hemd springt von Heu , während andere Kinder in andere Kinder zuschauen . ","Ein Kind in einem orangen Shirt springt von Heuballen herunter, während andere Kinder zusehen."
0,Boy doing tricks on a skateboard, Ein Junge macht Kunststücke auf einem Skateboard . ,Junge macht Kunststücke auf einem Skateboard
0,A man reaches up to work with cables above a desk.," Ein Mann greift nach oben , um einen Schreibtisch fliegt über einem Schreibtisch . ","Ein Mann greift nach oben, um an den Kabeln über einem Schreibtisch zu arbeiten."
0,A toddler is sitting at a table eating a snack., Ein Kleinkind sitzt an einem Tisch und isst einen isst einen Tisch . ,Ein kleines Kind sitzt an einem Tisch und isst einen Snack.
0,Four children carrying backpacks turn to face the camera and smile as they walk down a country road.," Vier Kinder mit Rucksäcken sind um die Kamera zu sehen , während sie in einer Straße  Kleidung gehen . ","Vier Kinder mit Rucksäcken drehen sich in Richtung der Kamera und lächeln, während sie eine Landstraße entlanggehen."
0,A man with dreadlocks is plugging his ear to hear a phone call., Ein Mann mit Dreadlocks lässt sein Ohr an einem Telefon  . ,"Ein Mann mit Rastalocken hält sich das Ohr zu, um ein Telefongespräch hören zu können."
0,Soft large discs are being stacked on a spindle in an industrial environment by one man as another looks on.,"   Obst wird in einem  , in einer  Umgebung von einem anderen Mann zusieht . ","In einer Industrieumgebung werden große, weiche Scheiben von einem Mann auf einer Spindel gestapelt, während ein anderer Mann zusieht."
0,"A dog in a grassy field, looking up.", Ein Hund auf einer Wiese schaut nach oben . ,Ein Hund auf einem grasbewachsenen Feld blickt nach oben.
0,A woman and a young child has fun while playing a board game., Eine Frau und ein kleines Kind haben Spaß und spielt ein Brettspiel . ,Eine Frau und ein kleines Kind haben Spaß bei einem Brettspiel.
0,4 kids sit on a ledge and converse., Vier Kinder sitzen auf einem  und unterhalten sich . ,Vier Jugendliche sitzen auf einem Vorsprung und unterhalten sich.
0,The small brown dog is amidst the potted plants and fallen leaves., Der kleine braune Hund inmitten von Pflanzen inmitten von  Laub . ,Der kleine braune Hund befindet sich inmitten der Topfpflanzen und heruntergefallenen Blätter.
0,Two men are painting a building while a third is walking past on his cellphone.," Zwei Männer malen ein Gebäude , während ein dritter Mann an seinem Handy geht . ","Zwei Männer streichen ein Gebäude an, während ein dritter Mann am Handy daran vorbeigeht."
0,Some men are looking at a computer screen in an office., Einige Männer schauen in einem  an . ,Einige Männer blicken auf einen Computerbildschirm in einem Büro.
0,Two woman examine a photograph on a camera., Zwei Frauen betrachten eine Kamera eine Kamera . ,Zwei Frauen betrachten ein Foto auf einer Kamera.
0,A blond women in a brown cowboy hat makes an obscene gesture toward the camera., Eine blonde Frau in einem braunen Cowboyhut macht eine Kamera eine Kamera zu . ,Eine blonde Frau mit braunem Cowboyhut macht eine obszöne Geste in Richtung der Kamera.
0,The white and brown dog runs across the grass., Der weiße und braune Hund rennt über das Gras . ,Der weiß-braune Hund rennt über das Gras.
0,A teenager reading a book in class with notes on her desk looking bored.," Ein Teenager liest sich im Freien an , der sich etwas  im Schreibtisch  und  sieht . ",Ein Teenager mit Notizen auf seinem Tisch liest ein Buch im Klassenzimmer und sieht dabei gelangweilt aus.
0,Two small girls walk along the leaves., Zwei kleine Mädchen gehen durch den Laub . ,Zwei kleine Mädchen gehen durch die Blätter.
0,A bride adjust her husbands flower on his coat as she holds her own bouquet of flowers., Eine Braut bringt ihre Blume in ihrer Blume auf ihre Jacke und hält dabei von ihrem  . ,Eine Braut rückt die Blume am Jackett ihres Bräutigams zurecht und hält dabei ihren eigenen Blumenstrauß.
0,The woman is placing an orange rose as a boutonniere on the man's suit jacket collar.," Die Frau macht ein  auf einer orangefarbenen  , während ein Mann mit Halsband ein Halsband an der Halsband trägt . ",Die Frau bringt eine orange Rose als Anstecksträußchen am Jackettkragen des Mannes an.
0,Two women with their baby strollers walking along a leaves covered street.," Zwei Frauen mit Baby , die ihr Kinderwagen gehen an einer mit Blättern entlang gehen die Straße entlang .",Zwei Frauen gehen mit ihren Kinderwagen eine mit Blättern bedeckte Straße entlang.
0,Four women dressed up in funny costumes., Vier Frauen in Kostümen machen eine  . ,Vier Frauen haben sich mit lustigen Kostümen verkleidet.
0,This old Asian woman rests and fans herself on an apparently hot day in the city., Eine alte asiatische Frau ruht sich an einem heißen Tag in einer  Stadt aus . ,Diese alte Asiatin ruht sich aus und fächelt sich an einem scheinbar heißen Tag in der Stadt Luft zu.
0,Girls in black bikinis playing beach volleyball., Mädchen in schwarzen Bikini spielen Volleyball . ,Mädchen in schwarzen Bikinis spielen Beachvolleyball.
0,A man with glasses and a little girl with a life jacket swimming in a pool., Ein Mann mit Brille und ein kleines Mädchen mit einer Schwimmweste schwimmt in einem Schwimmbecken . ,Ein Mann mit Brille und ein kleines Mädchen mit einer Schwimmweste schwimmen in einem Pool.
0,Three kids wearing brown shirts and jeans jumping outdoors with leaves on the ground., Drei Kinder in braunen Hemden und Jeans springen im Freien mit Blättern im Boden . ,Drei Kinder in braunen Shirts und Jeans hüpfen im Freien mit Blättern auf dem Boden.
0,A woman is focusing on her game of curling., Eine Frau nimmt an einem   teil . ,Eine Frau konzentriert sich auf ihr Curling-Spiel.
0,A person is carrying many bags., Eine Person trägt viele Taschen . ,Eine Person trägt viele Taschen.
0,A child near a blue stage with a colorful creature on it., Ein Kind in einer blauen Bühne mit der Bühne auf dem bunten Kleidern . ,Ein Kind bei einer blauen Bühne mit einer bunten Figur darauf.
0,A boy stands goofily in the middle of a social gathering., Ein Junge steht mitten auf einer Versammlung . ,Ein Junge steht auf alberne Weise bei einem geselligen Anlass herum.
0,"This Child is in a ClassRoom, finished for the day, maybe"," Das Kind ist ein Kind ist zu verkaufen oder beim  für das Tag , eine Art des ",Dieses Kind befindet sich in einem Klassenraum und vielleicht ist die Schule für heute aus
0,A man wakeboards in the water., Ein Mann in  beim Wasser . ,Ein Mann beim Wakeboarden im Wasser.
0,Children are staring out the window of a blue building with red shutters., Kinder schauen aus dem Fenster eines blauen Fenster mit roten  aus . ,Kinder starren aus dem Fenster eines blauen Gebäudes mit roten Fensterläden.
0,A salt-and-pepper-haired man with beard and glasses wearing black sits on the grass., Ein  Mann und mit Bart mit Bart und schwarzer Brille sitzt auf dem Rasen . ,"Ein schwarz gekleideter Mann mit graumeliertem Haar, Bart und Brille sitzt im Gras."
0,A woman and her two kids are on the beach and the woman is leaping high into the air., Eine Frau und zwei Kinder sind am Strand und springen hoch in die Luft . ,Eine Frau und ihre zwei Kinder sind am Strand und die Frau springt hoch in die Luft.
0,A couple of men walking on a public city street., Ein Paar geht auf einer öffentlichen Straße an einer öffentlichen Straße . ,Einige Männer gehen auf einer öffentlichen Straße in der Stadt.
0,A guy is doing a bike trick in a park., Ein Mann macht einen Trick in einem Park und macht ein Kunststück . ,Ein Typ macht ein Fahrradkunststück in einem Park.
0,A man in a brightly-colored ski jacket stands with others on a European street., Ein Mann in einer bunten  Jacke steht mit einer  Straße an einer  . ,Ein Mann in einer leuchtend bunten Skijacke steht mit anderen auf einer Straße in Europa.
0,A woman in a yellow t-shirt and sunglasses walks down a sidewalk., Eine Frau in einem gelben T-Shirt und Sonnenbrille geht einen Gehweg entlang . ,Eine Frau mit einem gelben T-Shirt und Sonnenbrille geht einen Gehweg entlang.
0,Two women look out at many houses below.," Zwei Frauen schauen sich von vielen  , unter ihm stehen . ",Zwei Frauen blicken auf viele Häuser hinab.
0,Two large dogs frolic in a grassy field., Zwei große Hunde  auf einer Wiese . ,Zwei große Hunde tollen auf einem grasbewachsenen Feld.
0,"The people are dressed in heavy layered clothing, and are motioning together.", Die Menschen in   Kleidung und zusammen sind zusammen . ,Die Menschen sind dick in mehrere Schichten gekleidet und machen gemeinsame Bewegungen.
0,A group of people eating at a restaurant., Eine Gruppe von Menschen isst in einem Restaurant . ,Eine Gruppe von Menschen isst in einem Restaurant.
0,A woman wearing a black t-shirt appears to being going up a escalator., Eine Frau in einem schwarzen T-Shirt scheint auf einer Rolltreppe zu sehen . ,Eine Frau in einem schwarzen T-Shirt scheint eine Rolltreppe hochzugehen.
0,"A room full of sitting and standing adults and children, and eight pink and black balloons hanging from the ceiling.", Ein Raum voller und Erwachsene sitzen und und tragen schwarze acht und schwarze Ballons von der Decke und  . ,"Ein Raum voll mit sitzenden und stehenden Erwachsenen und Kindern, in dem acht pinkfarbene und schwarze Luftballons von der Decke hängen."
0,A man and woman pose together on a cobblestone street., Ein Mann und eine Frau posieren auf einer gepflasterten Straße . ,Ein Mann und eine Frau posieren zusammen auf einer kopfsteingepflasterten Straße.
0,Two dogs are running and playing in the snow, Zwei Hunde laufen und spielen im Schnee . ,Zwei Hunde rennen und spielen im Schnee
0,A small dog jumping on a street., Ein kleiner Hund springt auf einer Straße . ,Ein kleiner Hund springt auf einer Straße.
0,A man wearing a black t-shirt is playing seven string bass a stage., Ein Mann in einem schwarzen T-Shirt spielt mit aus Metall auf einer Bühne . ,Ein Mann in einem schwarzen T-Shirt spielt einen siebensaitigen Bass auf einer Bühne.
0,A boy and an old man with a cane are talking., Ein Junge und ein alter Mann mit Stock unterhalten sich . ,Ein Junge und ein alter Mann mit einem Stock unterhalten sich.
0,"A girl wearing a white shirt, black shorts, and a headband is playing volleyball."," Ein Mädchen in einem weißen Oberteil , schwarzen Shorts und einem Stirnband spielt Volleyball . ","Ein Mädchen mit einem weißen Trikot, schwarzen Shorts und einem Stirnband spielt Volleyball."
0,Two men are standing on the street covered in graffiti., Zwei Männer stehen auf der Straße mit Graffiti . ,Zwei Männer stehen auf der mit Graffiti bedeckten Straße.
0,A boy in a t-shirt and shorts is holding a snowball and facing a snowy mountain., Ein Junge in T-Shirt und Shorts hält einen kurzen Hosen und hält einen schneebedeckten Berg hoch . ,Ein Junge in einem T-Shirt und Shorts hält einen Schneeball und blickt in Richtung eines schneebedeckten Berges.
0,A person is hang gliding in the ocean., Eine Person hängt ein Geschenk im Meer . ,Eine Person beim Surfen auf dem Meer.
0,"Two hussars sit perched on horses, dressed in extravagant ceremonial wear, each holding a sabre in their right hand, reigns to the horse in their left.", Zwei  sitzen auf Pferden in einer Robe und tragen  Kleidung tragen ihre  nach rechts und halten sich in der Hand in der Hand . ,"Zwei Husaren sitzen in extravaganter Galakleidung auf Pferden, wobei jeder einen Säbel in der rechten Hand und die Zügel des Pferdes in der linken Hand hält."
0,A dog running through deep snow pack., Ein Hund rennt durch  Schnee . ,Ein Hund rennt über eine tiefe Schneedecke.
0,A medium sized group of people pose in front of the camera., Eine  Gruppe von Leuten posiert vor einer Kamera . ,Eine mittelgroße Gruppe von Menschen posiert vor der Kamera.
0,Big brown and white spotted dog laying on a jacket on the street., Ein großer braun-weißer Hund liegt in der Jacke auf der Straße . ,Ein großer braun und weiß gefleckter Hund liegt auf einer Jacke auf der Straße.
0,Two teenage girls hold a card referring to periods as they smile.," Zwei Teenager halten ihre  an die  fest , während sie lächeln . ","Zwei weibliche Teenager halten eine Karte, auf der es um die Menstruation geht, und lächeln."
0,A mother and son smiling as they sled downhill.," Eine Mutter und Sohn lächeln , während sie einen Schlitten fährt . ","Eine Mutter und ihr Sohn lächeln, während sie den Hügel Schlitten fahren."
0,A man in a black shirt is cooking out of a cookbook in a cluttered kitchen., Ein Mann in einem schwarzen Hemd kocht in einer  Küche aus einer  . ,Ein Mann in einem schwarzen T-Shirt kocht in einer unaufgeräumten Küche aus einem Kochbuch.
0,A woman in white plays a black guitar., Eine Frau in weißer Kleidung spielt Gitarre . ,Eine Frau in Weiß spielt auf einer schwarzen Gitarre.
0,A snowboarder is jumping in the air next to the ski lift., Ein Snowboarder springt neben dem  in die Luft . ,Ein Snowboarder springt neben dem Skilift in die Luft.
0,Several people are standing in a room eating., Mehrere Menschen stehen in einem Raum und essen . ,Mehrere Menschen stehen in einem Raum und essen.
0,A man in a hat plays an unusual instrument for cash next to the metro exit., Ein Mann mit einem ungewöhnlichen Hut spielt ein Instrument neben dem  . ,Ein Mann mit einem Hut spielt am U-Bahn-Ausgang für Geld auf einem ungewöhnlichen Instrument.
0,A guy grinds a windowsill near an old windmill, Ein Mann gleitet an einer  ein  nahe einer alten  entlang . ,Ein Typ grindet eine Fensterbank in der Nähe einer alten Windmühle entlang
0,A woman in a white shirt and black pants hula hoops as a large group of people look on., Eine Frau in einem weißen Oberteil und schwarzen Hosen macht mit Hula-Hoop-Reifen auf einer großen Gruppe von Menschen . ,"Eine Frau in einem weißen T-Shirt und schwarzen Hosen tanzt Hula-Hoop, während ihr eine große Gruppe von Menschen zusieht."
0,One older man interviews another in a racing suit., Ein älterer Mann bringt einen anderen anderen Mann in einem  teil . ,Ein älterer Mann interviewt einen anderen in einem Rennanzug.
0,Two men in red robes performing martial arts., Zwei Männer in roten Gewändern führen Kampfsport vor . ,Zwei Männer in roten Gewändern führen eine Kampfsportübung durch.
0,A young child rides a motorbike through the mud., Ein kleines Kind fährt auf einem Motorrad durch Schlamm . ,Ein kleines Kind fährt auf einem Motorrad durch den Schlamm.
0,A child wearing a hat and jacket is outside running on a stone surface., Ein Kind mit einer Mütze und Jacke läuft auf einer  Fläche . ,Ein Kind mit Mütze und Jacke rennt im Freien über eine Steinoberfläche.
0,A child sitting on her dad's shoulders in a crowd., Ein Kind sitzt auf den Schultern seines  in einer Menschenmenge . ,Ein Kind sitzt in einer Menschenmenge auf den Schultern seines Vaters.
0,Two old men in hats doze in the sun outside., Zwei alte Männer mit Hüten in  draußen vor der Sonne . ,Zwei alte Männer mit Hut bzw. Mütze dösen draußen in der Sonne.
0,Two boys in a tent smile for the camera., Zwei Jungen in einem Zelt lächeln für die Kamera . ,Zwei Jungen in einem Zelt lächeln für die Kamera.
